,date,region_code,region,recovered,active_cases,deceased,cases
18,2020-10-25,2,Formentera,130.0,9.0,1.0,140.0
18,2020-10-25,4,Menorca,384.0,126.0,14.0,523.0
19,2020-10-26,3,Mallorca,11466.0,2546.0,333.0,14305.0
19,2020-10-26,1,Eivissa,2110.0,359.0,16.0,2462.0
19,2020-10-26,0,total-balears,14090.0,3040.0,364.0,17430.0
19,2020-10-26,2,Formentera,130.0,9.0,1.0,140.0
19,2020-10-26,4,Menorca,384.0,126.0,14.0,523.0
20,2020-10-27,2,Formentera,130.0,12.0,1.0,143.0
20,2020-10-27,1,Eivissa,2152.0,408.0,16.0,2554.0
20,2020-10-27,0,total-balears,14378.0,3168.0,366.0,17849.0
20,2020-10-27,4,Menorca,395.0,132.0,14.0,540.0
20,2020-10-27,3,Mallorca,11701.0,2616.0,335.0,14612.0
21,2020-10-28,2,Formentera,130.0,14.0,1.0,145.0
21,2020-10-28,4,Menorca,400.0,139.0,14.0,552.0
21,2020-10-28,1,Eivissa,2164.0,430.0,16.0,2587.0
21,2020-10-28,3,Mallorca,11763.0,2731.0,335.0,14789.0
21,2020-10-28,0,total-balears,14457.0,3314.0,366.0,18073.0
22,2020-10-29,0,total-balears,14457.0,3314.0,366.0,18073.0
22,2020-10-29,1,Eivissa,2164.0,430.0,16.0,2587.0
22,2020-10-29,4,Menorca,400.0,139.0,14.0,552.0
22,2020-10-29,3,Mallorca,11763.0,2731.0,335.0,14789.0
22,2020-10-29,2,Formentera,130.0,14.0,1.0,145.0
23,2020-10-30,1,Eivissa,2164.0,430.0,16.0,2587.0
23,2020-10-30,3,Mallorca,11763.0,2731.0,335.0,14789.0
23,2020-10-30,4,Menorca,400.0,139.0,14.0,552.0
23,2020-10-30,2,Formentera,130.0,14.0,1.0,145.0
23,2020-10-30,0,total-balears,14457.0,3314.0,366.0,18073.0
24,2020-10-31,4,Menorca,400.0,139.0,14.0,552.0
24,2020-10-31,3,Mallorca,11763.0,2731.0,335.0,14789.0
24,2020-10-31,2,Formentera,130.0,14.0,1.0,145.0
24,2020-10-31,0,total-balears,14457.0,3314.0,366.0,18073.0
24,2020-10-31,1,Eivissa,2164.0,430.0,16.0,2587.0
25,2020-11-01,4,Menorca,430.0,126.0,14.0,569.0
25,2020-11-01,1,Eivissa,2256.0,523.0,17.0,2773.0
25,2020-11-01,0,total-balears,15012.0,3589.0,372.0,18909.0
25,2020-11-01,2,Formentera,131.0,13.0,1.0,145.0
25,2020-11-01,3,Mallorca,12195.0,2927.0,340.0,15422.0
26,2020-11-02,1,Eivissa,2277.0,540.0,17.0,2812.0
26,2020-11-02,2,Formentera,131.0,14.0,1.0,146.0
26,2020-11-02,3,Mallorca,12329.0,2969.0,341.0,15599.0
26,2020-11-02,4,Menorca,442.0,125.0,14.0,580.0
26,2020-11-02,0,total-balears,15179.0,3648.0,373.0,19137.0
27,2020-11-03,4,Menorca,466.0,103.0,14.0,582.0
27,2020-11-03,1,Eivissa,2312.0,544.0,17.0,2851.0
27,2020-11-03,2,Formentera,131.0,15.0,1.0,147.0
27,2020-11-03,0,total-balears,15376.0,3663.0,374.0,19350.0
27,2020-11-03,3,Mallorca,12467.0,3001.0,342.0,15770.0
28,2020-11-04,3,Mallorca,12626.0,3024.0,343.0,15953.0
28,2020-11-04,4,Menorca,481.0,101.0,14.0,595.0
28,2020-11-04,2,Formentera,132.0,16.0,1.0,149.0
28,2020-11-04,1,Eivissa,2337.0,583.0,17.0,2915.0
28,2020-11-04,0,total-balears,15576.0,3724.0,375.0,19612.0
29,2020-11-05,4,Menorca,484.0,107.0,14.0,604.0
29,2020-11-05,3,Mallorca,12763.0,3097.0,347.0,16167.0
29,2020-11-05,2,Formentera,133.0,16.0,1.0,150.0
29,2020-11-05,0,total-balears,15744.0,3805.0,379.0,19865.0
29,2020-11-05,1,Eivissa,2364.0,585.0,17.0,2944.0
30,2020-11-06,4,Menorca,484.0,107.0,14.0,604.0
30,2020-11-06,3,Mallorca,12763.0,3097.0,347.0,16167.0
30,2020-11-06,2,Formentera,133.0,16.0,1.0,150.0
30,2020-11-06,1,Eivissa,2364.0,585.0,17.0,2944.0
30,2020-11-06,0,total-balears,15744.0,3805.0,379.0,19865.0
31,2020-11-07,2,Formentera,133.0,16.0,1.0,150.0
31,2020-11-07,0,total-balears,15744.0,3805.0,379.0,19865.0
31,2020-11-07,1,Eivissa,2364.0,585.0,17.0,2944.0
