,date,region_code,region,cases,recovered,active_cases,deceased
1,2020-10-08,07036,Marratxí,515.0,433.0,80.0,4.0
1,2020-10-08,07041,Petra,0.0,0.0,0.0,0.0
1,2020-10-08,07020,Esporles,58.0,50.0,7.0,1.0
1,2020-10-08,07045,Puigpunyent,11.0,6.0,6.0,0.0
1,2020-10-08,07010,Bunyola,66.0,48.0,15.0,3.0
1,2020-10-08,07038,Montuïri,58.0,16.0,34.0,7.0
1,2020-10-08,07008,Binissalem,95.0,73.0,21.0,1.0
1,2020-10-08,07055,Santa Margalida,75.0,64.0,11.0,0.0
1,2020-10-08,07058,Selva,16.0,15.0,1.0,1.0
1,2020-10-08,07014,Capdepera,117.0,73.0,42.0,2.0
1,2020-10-08,07016,Consell,27.0,19.0,8.0,0.0
1,2020-10-08,07003,Alcúdia,140.0,121.0,22.0,0.0
1,2020-10-08,07043,Porreres,38.0,34.0,6.0,0.0
1,2020-10-08,07021,Estellencs,0.0,0.0,0.0,0.0
1,2020-10-08,07061,Sóller,234.0,117.0,106.0,10.0
1,2020-10-08,07056,Santa Maria del Camí,105.0,96.0,8.0,1.0
2,2020-10-09,07051,Sant Llorenç des Cardassar,32.0,24.0,6.0,2.0
2,2020-10-09,07028,Lloret de Vistalegre,1.0,2.0,0.0,0.0
2,2020-10-09,07047,Sencelles,21.0,17.0,3.0,1.0
2,2020-10-09,07006,Artà,54.0,52.0,3.0,0.0
2,2020-10-09,07055,Santa Margalida,75.0,64.0,11.0,0.0
2,2020-10-09,07029,Lloseta,23.0,14.0,9.0,0.0
2,2020-10-09,07053,Santa Eugènia,4.0,4.0,0.0,0.0
2,2020-10-09,07062,Son Servera,67.0,56.0,11.0,2.0
2,2020-10-09,07038,Montuïri,58.0,16.0,34.0,7.0
2,2020-10-09,07031,Llucmajor,459.0,390.0,66.0,3.0
2,2020-10-09,07039,Muro,62.0,53.0,7.0,3.0
2,2020-10-09,07010,Bunyola,66.0,48.0,15.0,3.0
2,2020-10-09,07061,Sóller,234.0,117.0,106.0,10.0
2,2020-10-09,07003,Alcúdia,140.0,121.0,22.0,0.0
2,2020-10-09,07005,Andratx,64.0,59.0,5.0,2.0
2,2020-10-09,07017,Costitx,6.0,4.0,2.0,0.0
2,2020-10-09,07056,Santa Maria del Camí,105.0,96.0,8.0,1.0
2,2020-10-09,07007,Banyalbufar,5.0,4.0,1.0,0.0
2,2020-10-09,07025,Fornalutx,0.0,0.0,0.0,0.0
2,2020-10-09,07036,Marratxí,515.0,433.0,80.0,4.0
2,2020-10-09,07012,Campanet,15.0,13.0,2.0,0.0
2,2020-10-09,07027,Inca,403.0,273.0,125.0,5.0
2,2020-10-09,07018,Deià,7.0,6.0,1.0,0.0
2,2020-10-09,07059,Ses Salines,13.0,9.0,3.0,1.0
2,2020-10-09,07033,Manacor,333.0,248.0,83.0,8.0
2,2020-10-09,07014,Capdepera,117.0,73.0,42.0,2.0
2,2020-10-09,07021,Estellencs,0.0,0.0,0.0,0.0
2,2020-10-09,07043,Porreres,38.0,34.0,6.0,0.0
2,2020-10-09,07058,Selva,16.0,15.0,1.0,1.0
2,2020-10-09,07044,Sa Pobla,142.0,122.0,21.0,0.0
2,2020-10-09,07045,Puigpunyent,11.0,6.0,6.0,0.0
2,2020-10-09,07060,Sineu,31.0,27.0,3.0,1.0
2,2020-10-09,07065,Vilafranca de Bonany,37.0,29.0,8.0,1.0
2,2020-10-09,07008,Binissalem,95.0,73.0,21.0,1.0
2,2020-10-09,07011,Calvià,548.0,451.0,81.0,21.0
2,2020-10-09,07041,Petra,0.0,0.0,0.0,0.0
2,2020-10-09,07030,Llubí,25.0,23.0,2.0,0.0
2,2020-10-09,07901,Ariany,11.0,9.0,2.0,0.0
2,2020-10-09,07020,Esporles,58.0,50.0,7.0,1.0
2,2020-10-09,07034,Mancor de la Vall,4.0,2.0,2.0,0.0
2,2020-10-09,07019,Escorca,0.0,0.0,0.0,0.0
2,2020-10-09,07016,Consell,27.0,19.0,8.0,0.0
2,2020-10-09,07063,Valldemossa,24.0,18.0,5.0,1.0
2,2020-10-09,07049,Sant Joan,63.0,27.0,21.0,10.0
2,2020-10-09,07035,Maria de la Salut,16.0,15.0,1.0,0.0
2,2020-10-09,07022,Felanitx,83.0,64.0,16.0,3.0
2,2020-10-09,07001,Alaró,74.0,61.0,12.0,1.0
2,2020-10-09,0,total-mallorca,12314.0,10033.0,2040.0,294.0
2,2020-10-09,07004,Algaida,41.0,35.0,6.0,1.0
2,2020-10-09,07042,Pollença,71.0,60.0,11.0,2.0
2,2020-10-09,07057,Santanyí,56.0,51.0,5.0,1.0
2,2020-10-09,07013,Campos,87.0,74.0,13.0,2.0
2,2020-10-09,07040,Palma,7873.0,6569.0,1136.0,193.0
2,2020-10-09,07009,Búger,4.0,3.0,1.0,0.0
3,2020-10-10,07055,Santa Margalida,75.0,64.0,11.0,0.0
3,2020-10-10,07030,Llubí,25.0,23.0,2.0,0.0
3,2020-10-10,07027,Inca,403.0,273.0,125.0,5.0
3,2020-10-10,07012,Campanet,15.0,13.0,2.0,0.0
3,2020-10-10,07035,Maria de la Salut,16.0,15.0,1.0,0.0
3,2020-10-10,07036,Marratxí,515.0,433.0,80.0,4.0
3,2020-10-10,07011,Calvià,548.0,451.0,81.0,21.0
3,2020-10-10,07057,Santanyí,56.0,51.0,5.0,1.0
3,2020-10-10,07004,Algaida,41.0,35.0,6.0,1.0
3,2020-10-10,07058,Selva,16.0,15.0,1.0,1.0
3,2020-10-10,07006,Artà,54.0,52.0,3.0,0.0
3,2020-10-10,07031,Llucmajor,459.0,390.0,66.0,3.0
3,2020-10-10,0,total-mallorca,12314.0,10033.0,2040.0,294.0
3,2020-10-10,07014,Capdepera,117.0,73.0,42.0,2.0
3,2020-10-10,07033,Manacor,333.0,248.0,83.0,8.0
3,2020-10-10,07056,Santa Maria del Camí,105.0,96.0,8.0,1.0
3,2020-10-10,07034,Mancor de la Vall,4.0,2.0,2.0,0.0
3,2020-10-10,07005,Andratx,64.0,59.0,5.0,2.0
3,2020-10-10,07060,Sineu,31.0,27.0,3.0,1.0
3,2020-10-10,07061,Sóller,234.0,117.0,106.0,10.0
3,2020-10-10,07028,Lloret de Vistalegre,1.0,2.0,0.0,0.0
3,2020-10-10,07047,Sencelles,21.0,17.0,3.0,1.0
3,2020-10-10,07043,Porreres,38.0,34.0,6.0,0.0
3,2020-10-10,07063,Valldemossa,24.0,18.0,5.0,1.0
3,2020-10-10,07021,Estellencs,0.0,0.0,0.0,0.0
3,2020-10-10,07029,Lloseta,23.0,14.0,9.0,0.0
3,2020-10-10,07051,Sant Llorenç des Cardassar,32.0,24.0,6.0,2.0
3,2020-10-10,07018,Deià,7.0,6.0,1.0,0.0
3,2020-10-10,07059,Ses Salines,13.0,9.0,3.0,1.0
3,2020-10-10,07039,Muro,62.0,53.0,7.0,3.0
3,2020-10-10,07040,Palma,7873.0,6569.0,1136.0,193.0
3,2020-10-10,07044,Sa Pobla,142.0,122.0,21.0,0.0
3,2020-10-10,07049,Sant Joan,63.0,27.0,21.0,10.0
3,2020-10-10,07016,Consell,27.0,19.0,8.0,0.0
3,2020-10-10,07001,Alaró,74.0,61.0,12.0,1.0
3,2020-10-10,07022,Felanitx,83.0,64.0,16.0,3.0
3,2020-10-10,07009,Búger,4.0,3.0,1.0,0.0
3,2020-10-10,07042,Pollença,71.0,60.0,11.0,2.0
3,2020-10-10,07019,Escorca,0.0,0.0,0.0,0.0
3,2020-10-10,07025,Fornalutx,0.0,0.0,0.0,0.0
3,2020-10-10,07062,Son Servera,67.0,56.0,11.0,2.0
3,2020-10-10,07013,Campos,87.0,74.0,13.0,2.0
3,2020-10-10,07010,Bunyola,66.0,48.0,15.0,3.0
3,2020-10-10,07008,Binissalem,95.0,73.0,21.0,1.0
3,2020-10-10,07041,Petra,0.0,0.0,0.0,0.0
3,2020-10-10,07003,Alcúdia,140.0,121.0,22.0,0.0
3,2020-10-10,07020,Esporles,58.0,50.0,7.0,1.0
3,2020-10-10,07065,Vilafranca de Bonany,37.0,29.0,8.0,1.0
3,2020-10-10,07038,Montuïri,58.0,16.0,34.0,7.0
3,2020-10-10,07053,Santa Eugènia,4.0,4.0,0.0,0.0
3,2020-10-10,07007,Banyalbufar,5.0,4.0,1.0,0.0
3,2020-10-10,07901,Ariany,11.0,9.0,2.0,0.0
3,2020-10-10,07045,Puigpunyent,11.0,6.0,6.0,0.0
3,2020-10-10,07017,Costitx,6.0,4.0,2.0,0.0
4,2020-10-11,07041,Petra,0.0,0.0,0.0,0.0
4,2020-10-11,07034,Mancor de la Vall,4.0,2.0,2.0,0.0
4,2020-10-11,07063,Valldemossa,24.0,18.0,5.0,1.0
