,date,region_code,region,cases,recovered,active_cases,deceased
13,2020-10-20,07050,Sant Joan de Labritja,40.0,38.0,3.0,0.0
13,2020-10-20,07054,Santa Eulària des Riu,335.0,275.0,60.0,9.0
13,2020-10-20,07046,Sant Antoni de Portmany,387.0,334.0,54.0,2.0
14,2020-10-21,07048,Sant Josep de sa Talaia,383.0,338.0,45.0,1.0
14,2020-10-21,0,total-eivissa,2366.0,2031.0,343.0,16.0
14,2020-10-21,07026,Eivissa,1212.0,1042.0,176.0,4.0
14,2020-10-21,07050,Sant Joan de Labritja,40.0,38.0,3.0,0.0
14,2020-10-21,07054,Santa Eulària des Riu,340.0,278.0,62.0,9.0
14,2020-10-21,07046,Sant Antoni de Portmany,391.0,335.0,57.0,2.0
15,2020-10-22,07026,Eivissa,1226.0,1047.0,185.0,3.0
15,2020-10-22,07050,Sant Joan de Labritja,40.0,39.0,2.0,0.0
15,2020-10-22,07046,Sant Antoni de Portmany,405.0,336.0,69.0,3.0
15,2020-10-22,07048,Sant Josep de sa Talaia,386.0,340.0,46.0,1.0
15,2020-10-22,0,total-eivissa,2404.0,2043.0,368.0,16.0
15,2020-10-22,07054,Santa Eulària des Riu,347.0,281.0,66.0,9.0
16,2020-10-23,07048,Sant Josep de sa Talaia,386.0,340.0,46.0,1.0
16,2020-10-23,07050,Sant Joan de Labritja,40.0,39.0,2.0,0.0
16,2020-10-23,07046,Sant Antoni de Portmany,405.0,336.0,69.0,3.0
16,2020-10-23,07054,Santa Eulària des Riu,347.0,281.0,66.0,9.0
16,2020-10-23,07026,Eivissa,1226.0,1047.0,185.0,3.0
16,2020-10-23,0,total-eivissa,2404.0,2043.0,368.0,16.0
17,2020-10-24,07050,Sant Joan de Labritja,40.0,39.0,2.0,0.0
17,2020-10-24,0,total-eivissa,2404.0,2043.0,368.0,16.0
17,2020-10-24,07026,Eivissa,1226.0,1047.0,185.0,3.0
17,2020-10-24,07054,Santa Eulària des Riu,347.0,281.0,66.0,9.0
17,2020-10-24,07048,Sant Josep de sa Talaia,386.0,340.0,46.0,1.0
17,2020-10-24,07046,Sant Antoni de Portmany,405.0,336.0,69.0,3.0
