date,region_code,region,illa,cases,recovered,active_cases,deceased
2020-10-21,07027,Inca,Mallorca,463,347,108,7
2020-10-21,07029,Lloseta,Mallorca,27,22,5,0
2020-10-21,07030,Llubí,Mallorca,28,23,5,0
2020-10-21,07034,Mancor de la Vall,Mallorca,6,4,2,0
2020-10-21,07035,Maria de la Salut,Mallorca,17,16,1,0
2020-10-21,07036,Marratxí,Mallorca,573,480,90,5
2020-10-21,07038,Montuïri,Mallorca,60,18,34,7
2020-10-21,07039,Muro,Mallorca,63,55,6,3
2020-10-21,07040,Palma,Mallorca,8622,7136,1305,205
2020-10-21,07042,Pollença,Mallorca,99,69,30,2
2020-10-21,07043,Porreres,Mallorca,38,36,4,0
2020-10-21,07046,Sant Antoni de Portmany,Eivissa,391,335,57,2
2020-10-21,07041,Petra,Mallorca,0,0,0,0
2020-10-21,07045,Puigpunyent,Mallorca,16,11,6,0
2020-10-21,07044,Sa Pobla,Mallorca,153,128,26,0
2020-10-21,07049,Sant Joan,Mallorca,100,45,39,11
2020-10-21,07050,Sant Joan de Labritja,Eivissa,40,38,3,0
2020-10-21,07048,Sant Josep de sa Talaia,Eivissa,383,338,45,1
2020-10-21,07051,Sant Llorenç des Cardassar,Mallorca,36,28,6,2
2020-10-21,07052,Sant Lluís,Menorca,29,23,5,1
2020-10-21,07053,Santa Eugènia,Mallorca,4,4,0,0
2020-10-21,07054,Santa Eulària des Riu,Eivissa,340,278,62,9
2020-10-21,07055,Santa Margalida,Mallorca,86,71,15,0
2020-10-21,07056,Santa Maria del Camí,Mallorca,113,100,12,1
2020-10-21,07057,Santanyí,Mallorca,58,52,6,1
2020-10-21,07058,Selva,Mallorca,25,15,10,1
2020-10-21,07047,Sencelles,Mallorca,22,19,2,1
2020-10-21,07059,Ses Salines,Mallorca,14,11,2,1
2020-10-21,07060,Sineu,Mallorca,31,27,2,1
2020-10-21,07061,Sóller,Mallorca,262,152,87,19
2020-10-21,07062,Son Servera,Mallorca,75,63,12,2
2020-10-21,07063,Valldemossa,Mallorca,24,20,3,1
2020-10-21,07065,Vilafranca de Bonany,Mallorca,48,36,12,1
2020-10-21,07002,Alaior,Menorca,26,14,12,0
2020-10-21,07001,Alaró,Mallorca,79,66,12,1
2020-10-21,07003,Alcúdia,Mallorca,155,135,23,0
2020-10-21,07004,Algaida,Mallorca,43,37,6,1
2020-10-21,07005,Andratx,Mallorca,73,62,11,2
2020-10-21,07901,Ariany,Mallorca,11,10,1,0
2020-10-21,07006,Artà,Mallorca,58,54,5,0
2020-10-21,07007,Banyalbufar,Mallorca,5,4,1,0
2020-10-21,07008,Binissalem,Mallorca,102,81,20,1
2020-10-21,07009,Búger,Mallorca,5,4,1,0
2020-10-21,07010,Bunyola,Mallorca,73,60,10,3
2020-10-21,07011,Calvià,Mallorca,610,498,96,21
2020-10-21,07013,Campos,Mallorca,88,78,10,2
2020-10-21,07014,Capdepera,Mallorca,120,80,38,2
2020-10-21,07015,Ciutadella de Menorca,Menorca,235,187,45,3
2020-10-21,07012,Campanet,Mallorca,19,13,6,0
2020-10-21,07016,Consell,Mallorca,32,26,6,0
2020-10-21,07017,Costitx,Mallorca,7,4,3,0
2020-10-21,07018,Deià,Mallorca,7,6,1,0
2020-10-21,07026,Eivissa,Eivissa,1212,1042,176,4
2020-10-21,07064,Es Castell,Menorca,20,15,5,0
2020-10-21,07037,Es Mercadal,Menorca,27,24,0,3
2020-10-21,07902,Es Migjorn Gran,Menorca,2,1,1,0
2020-10-21,07019,Escorca,Mallorca,1,0,1,0
2020-10-21,07020,Esporles,Mallorca,63,54,8,1
2020-10-21,07021,Estellencs,Mallorca,1,0,1,0
2020-10-21,07022,Felanitx,Mallorca,113,76,32,5
2020-10-21,07023,Ferreries,Menorca,1,1,0,0
2020-10-21,07024,Formentera,Formentera,139,129,9,1
2020-10-21,07025,Fornalutx,Mallorca,0,0,0,0
2020-10-21,07028,Lloret de Vistalegre,Mallorca,3,2,2,0
2020-10-21,07031,Llucmajor,Mallorca,510,422,85,3
2020-10-21,07033,Manacor,Mallorca,435,318,115,8
2020-10-21,07032,Maó,Menorca,139,91,43,6
