date,region_code,region,illa,cases,recovered,active_cases,deceased
2021-05-05,07027,Inca,Mallorca,1744,1653,64,25
2021-05-05,07029,Lloseta,Mallorca,308,291,13,3
2021-05-05,07030,Llubí,Mallorca,87,83,4,0
2021-05-05,07034,Mancor de la Vall,Mallorca,54,54,0,0
2021-05-05,07035,Maria de la Salut,Mallorca,71,71,0,0
2021-05-05,07036,Marratxí,Mallorca,1965,1904,51,21
2021-05-05,07038,Montuïri,Mallorca,159,142,4,13
2021-05-05,07039,Muro,Mallorca,337,311,22,5
2021-05-05,07040,Palma,Mallorca,24647,23814,567,379
2021-05-05,07042,Pollença,Mallorca,642,611,12,18
2021-05-05,07043,Porreres,Mallorca,148,142,8,1
2021-05-05,07046,Sant Antoni de Portmany,Eivissa,1971,1930,24,20
2021-05-05,07041,Petra,Mallorca,113,109,3,2
2021-05-05,07045,Puigpunyent,Mallorca,74,75,0,0
2021-05-05,07044,Sa Pobla,Mallorca,778,754,16,8
2021-05-05,07049,Sant Joan,Mallorca,143,125,1,12
2021-05-05,07050,Sant Joan de Labritja,Eivissa,211,207,3,2
2021-05-05,07048,Sant Josep de sa Talaia,Eivissa,1623,1597,17,8
2021-05-05,07051,Sant Llorenç des Cardassar,Mallorca,237,226,10,2
2021-05-05,07052,Sant Lluís,Menorca,100,87,11,2
2021-05-05,07053,Santa Eugènia,Mallorca,72,71,1,0
2021-05-05,07054,Santa Eulària des Riu,Eivissa,2489,2433,38,27
2021-05-05,07055,Santa Margalida,Mallorca,435,424,9,4
2021-05-05,07056,Santa Maria del Camí,Mallorca,397,392,2,4
2021-05-05,07057,Santanyí,Mallorca,356,336,12,10
2021-05-05,07058,Selva,Mallorca,153,143,7,4
2021-05-05,07047,Sencelles,Mallorca,126,119,6,1
2021-05-05,07059,Ses Salines,Mallorca,103,98,3,2
2021-05-05,07060,Sineu,Mallorca,134,126,7,1
2021-05-05,07061,Sóller,Mallorca,703,662,12,25
2021-05-05,07062,Son Servera,Mallorca,432,393,35,6
2021-05-05,07063,Valldemossa,Mallorca,78,72,4,2
2021-05-05,07065,Vilafranca de Bonany,Mallorca,152,151,2,1
2021-05-05,07002,Alaior,Menorca,262,253,7,3
2021-05-05,07001,Alaró,Mallorca,273,262,6,5
2021-05-05,07003,Alcúdia,Mallorca,859,831,19,13
2021-05-05,07004,Algaida,Mallorca,133,129,4,1
2021-05-05,07005,Andratx,Mallorca,445,425,17,4
2021-05-05,07901,Ariany,Mallorca,47,46,1,0
2021-05-05,07006,Artà,Mallorca,301,299,3,0
2021-05-05,07007,Banyalbufar,Mallorca,13,13,0,0
2021-05-05,07008,Binissalem,Mallorca,404,391,10,4
2021-05-05,07009,Búger,Mallorca,24,23,0,1
2021-05-05,07010,Bunyola,Mallorca,236,229,6,3
2021-05-05,07011,Calvià,Mallorca,2109,2038,36,44
2021-05-05,07013,Campos,Mallorca,368,350,10,11
2021-05-05,07014,Capdepera,Mallorca,326,307,15,4
2021-05-05,07015,Ciutadella de Menorca,Menorca,857,838,13,8
2021-05-05,07012,Campanet,Mallorca,74,72,1,1
2021-05-05,07016,Consell,Mallorca,168,167,1,1
2021-05-05,07017,Costitx,Mallorca,29,27,1,1
2021-05-05,07018,Deià,Mallorca,22,20,1,1
2021-05-05,07026,Eivissa,Eivissa,5365,5249,82,43
2021-05-05,07064,Es Castell,Menorca,154,145,7,2
2021-05-05,07037,Es Mercadal,Menorca,88,84,1,5
2021-05-05,07902,Es Migjorn Gran,Menorca,13,13,0,0
2021-05-05,07019,Escorca,Mallorca,5,5,0,0
2021-05-05,07020,Esporles,Mallorca,194,191,0,5
2021-05-05,07021,Estellencs,Mallorca,7,6,0,1
2021-05-05,07022,Felanitx,Mallorca,565,547,11,6
2021-05-05,07023,Ferreries,Menorca,39,36,3,0
2021-05-05,07024,Formentera,Formentera,523,517,4,5
2021-05-05,07025,Fornalutx,Mallorca,11,10,1,0
2021-05-05,07028,Lloret de Vistalegre,Mallorca,22,22,1,0
2021-05-05,07031,Llucmajor,Mallorca,1543,1511,23,10
2021-05-05,07033,Manacor,Mallorca,2067,2000,53,24
2021-05-05,07032,Maó,Menorca,676,636,31,12
